algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
DT,0.114,26.021,0.997,0.997,0.997,0.997,0.997,0.996,0.994,0.996,0.003,0.003,0.005,0.010,0.100,0.997,99.496
Linear Regression,0.031,2.395,0.739,0.786,0.739,0.743,0.762,0.682,0.598,0.674,0.261,0.261,0.299,0.381,0.618,0.738,80.870
Logistic Regression,0.077,867.838,0.910,0.911,0.910,0.910,0.911,0.888,0.838,0.888,0.090,0.090,0.138,0.251,0.501,0.910,87.398
KNN,574.543,0.332,0.996,0.996,0.996,0.996,0.996,0.995,0.992,0.995,0.004,0.004,0.006,0.012,0.110,0.996,99.388
Random Forest,7.865,406.411,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.998,0.002,0.002,0.003,0.006,0.078,0.998,99.698
MLP,0.640,2827.135,0.994,0.994,0.994,0.994,0.994,0.993,0.988,0.993,0.006,0.006,0.009,0.017,0.131,0.994,99.144
Bagging,1.429,208.203,0.998,0.998,0.998,0.998,0.998,0.997,0.996,0.997,0.002,0.002,0.004,0.008,0.088,0.998,99.613
J48,0.085,24.819,0.997,0.997,0.997,0.997,0.997,0.997,0.995,0.997,0.003,0.003,0.005,0.009,0.096,0.997,99.536
ANN,33.432,573.113,0.959,0.959,0.959,0.959,0.959,0.949,0.922,0.949,0.041,0.041,0.064,0.118,0.344,0.960,94.075
DNN,28.964,589.688,0.977,0.977,0.977,0.977,0.977,0.971,0.955,0.971,0.023,0.023,0.035,0.062,0.248,0.977,96.905
Gradient Boosting,4.724,3851.146,0.992,0.992,0.992,0.992,0.992,0.990,0.984,0.990,0.008,0.008,0.014,0.029,0.170,0.992,98.555
XGBoost,4.251,123.801,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.998,0.002,0.002,0.003,0.005,0.073,0.998,99.733
Gaussian Naive Bayes,0.695,1.096,0.637,0.615,0.637,0.549,0.539,0.584,0.428,0.548,0.363,0.363,0.451,0.692,0.832,0.647,66.507
Adaptive Gradient Boosting,25.397,15492.049,0.971,0.971,0.971,0.971,0.971,0.964,0.944,0.964,0.029,0.029,0.053,0.108,0.328,0.971,94.630
QDA,0.796,3.510,0.640,0.718,0.640,0.647,0.679,0.564,0.491,0.549,0.360,0.360,0.622,1.330,1.153,0.637,34.803
SNN,42.382,836.524,0.987,0.987,0.987,0.987,0.987,0.983,0.974,0.983,0.013,0.013,0.019,0.033,0.181,0.987,98.350
RBM,48.421,958.575,0.207,0.201,0.207,0.168,0.165,-0.000,0.095,-0.000,0.793,0.793,1.568,3.889,1.972,0.200,-41.174
LSTM,189.376,10578.029,0.990,0.990,0.990,0.990,0.990,0.987,0.980,0.987,0.010,0.010,0.014,0.024,0.154,0.990,98.815
reconstruction_NN,58.416,1339.842,0.981,0.981,0.981,0.981,0.981,0.976,0.963,0.976,0.019,0.019,0.028,0.048,0.220,0.981,97.572
DANN,86.384,1520.027,0.979,0.979,0.979,0.979,0.979,0.973,0.959,0.973,0.021,0.021,0.032,0.057,0.238,0.979,97.152
DBN,8.812,2031.382,0.384,0.419,0.384,0.251,0.229,0.285,0.175,0.219,0.616,0.616,1.309,3.121,1.767,0.365,20.811
